Player,Pos,Age,G,3P,3PA,PTS,TRB,AST,threes_made,threes_trials
Kevin Love,PF,35,55,84,244,485,338,115,84,244
Sam Merrill,SG,27,61,143,354,485,120,108,143,354
Draymond Green,PF,33,55,51,129,475,398,332,51,129
Josh Green,SG,23,57,72,187,469,184,130,72,187
Naji Marshall,SF,26,66,58,150,466,240,128,58,150
Amir Coffey,SF,26,70,70,184,463,148,76,70,184
Trendon Watford,PF,23,63,27,68,432,194,81,27,68
Luke Kennard,SG,27,39,107,238,429,113,136,107,238
Patrick Williams,PF,22,43,59,148,429,166,66,59,148
Pat Connaughton,SF,31,76,82,238,428,239,161,82,238
Dante Exum,PG,28,55,53,108,428,149,157,53,108
Josh Richardson,SG,30,43,66,190,425,121,105,66,190
De'Anthony Melton,SG,25,38,77,214,421,141,114,77,214
Ziaire Williams,SF,22,51,58,189,420,180,75,58,189
Trey Lyles,PF,28,58,84,219,419,257,72,84,219
Haywood Highsmith,PF,27,66,76,192,405,210,70,76,192
Jose Alvarado,PG,25,56,78,207,397,128,117,78,207
Jonathan Isaac,PF,26,58,42,112,393,260,30,42,112
Jake LaRavia,PF,22,35,53,156,379,128,58,53,156
Davion Mitchell,PG,25,72,57,158,379,95,134,57,158
Kris Murray,SF,23,62,49,183,376,224,80,49,183
Gary Harris,SG,29,54,76,205,372,91,87,76,205
Dennis Smith Jr.,PG,26,56,32,109,369,164,203,32,109
Jevon Carter,PG,28,72,77,234,357,60,94,77,234
Kris Dunn,PG,29,66,41,111,357,189,254,41,111
Dyson Daniels,PG,20,61,42,135,354,236,164,42,135
Matisse Thybulle,SF,26,65,80,231,354,136,90,80,231
Nikola Jović,PF,20,46,65,163,352,192,90,65,163
Larry Nance Jr.,C,31,61,27,65,350,307,113,27,65
Christian Wood,PF,28,50,35,114,347,254,49,35,114
Landry Shamet,SG,26,46,53,157,327,62,54,53,157
Garrison Mathews,SG,27,66,85,193,325,92,37,85,193
Kenrich Williams,PF,29,69,56,141,325,209,93,56,141
Chris Boucher,PF,31,50,31,94,322,207,23,31,94
Anthony Black,PG,20,69,37,94,316,139,91,37,94
Jae Crowder,PF,33,50,58,166,312,161,66,58,166
Keon Ellis,SG,24,57,70,168,310,124,85,70,168
Torrey Craig,SF,33,53,60,153,303,217,58,60,153
Bryce McGowens,SG,21,59,34,102,302,102,51,34,102
Nick Smith Jr.,SG,19,51,63,146,302,72,59,63,146
Joe Ingles,SF,36,68,70,161,296,142,203,70,161
Taylor Hendricks,PF,20,40,53,140,292,185,32,53,140
Dean Wade,PF,27,54,79,202,291,218,43,79,202
Killian Hayes,PG,22,42,22,74,289,119,205,22,74
Marcus Smart,PG,29,20,42,134,289,53,86,42,134
Craig Porter Jr.,PG,23,51,12,34,285,109,118,12,34
Max Christie,SG,20,67,42,118,284,142,60,42,118
Josh Okogie,SG,25,60,29,94,277,154,64,29,94
Jaylin Williams,C,21,69,53,144,276,234,110,53,144
Jock Landale,C,28,56,10,40,274,172,65,10,40
Scotty Pippen Jr.,PG,23,21,30,72,271,67,98,30,72
Blake Wesley,SG,20,61,12,55,268,94,166,12,55
Jae'Sean Tate,SF,28,65,23,77,265,197,64,23,77
Cam Reddish,SF,24,48,37,110,260,99,48,37,110
Bones Hyland,PG,23,37,44,135,256,55,93,44,135
Mo Bamba,C,25,57,25,64,253,238,41,25,64
Caleb Houstan,SF,21,59,72,193,253,84,29,72,193
A.J. Green,SG,24,56,69,169,252,64,30,69,169
Ben Sheppard,SG,22,57,49,156,252,89,53,49,156
